DATE,TICKER,RET,vwretd
12/31/10,PG,0.053381,0.067182
1/31/11,PG,-0.011164,0.019183
2/28/11,PG,-0.001267,0.038156
3/31/11,PG,-0.022998,0.003341
4/29/11,PG,0.062094,0.028597
5/31/11,PG,0.032357,-0.014948
6/30/11,PG,-0.051194,-0.018447
7/29/11,PG,-0.024461,-0.022534
8/31/11,PG,0.035616,-0.057564
9/30/11,PG,-0.007852,-0.084983
10/31/11,PG,0.02113,0.114146
11/30/11,PG,0.009064,-0.00627
12/30/11,PG,0.033142,0.003676
1/31/12,PG,-0.047144,0.054106
2/29/12,PG,0.072652,0.041225
3/30/12,PG,-0.006063,0.02402
4/30/12,PG,-0.044755,-0.006829
5/31/12,PG,-0.021213,-0.06559
6/29/12,PG,-0.016696,0.038151
7/31/12,PG,0.06289,0.010307
8/31/12,PG,0.04106,0.026317
9/28/12,PG,0.032296,0.026513
10/31/12,PG,0.006373,-0.014055
11/30/12,PG,0.008521,0.006217
12/31/12,PG,-0.027782,0.012569
1/31/13,PG,0.115363,0.054142
2/28/13,PG,0.013571,0.008282
3/28/13,PG,0.011552,0.035295
4/30/13,PG,0.004042,0.014939
5/31/13,PG,-0.00013,0.019128
6/28/13,PG,0.002996,-0.015072
7/31/13,PG,0.050805,0.052658
8/30/13,PG,-0.030012,-0.02575
9/30/13,PG,-0.029529,0.037497
10/31/13,PG,0.07622,0.039889
11/29/13,PG,0.042972,0.024956
12/31/13,PG,-0.033365,0.02614
1/31/14,PG,-0.051449,-0.03002
2/28/14,PG,0.026625,0.046198
3/31/14,PG,0.024663,0.00454
4/30/14,PG,0.032179,0.001573
5/30/14,PG,-0.02132,0.020254
6/30/14,PG,-0.027231,0.027973
7/31/14,PG,-0.00797,-0.020555
8/29/14,PG,0.074884,0.040205
9/30/14,PG,0.00758,-0.025196
10/31/14,PG,0.04984,0.021164
11/28/14,PG,0.03621,0.021104
12/31/14,PG,0.007298,-0.003659
1/30/15,PG,-0.067586,-0.027163
2/27/15,PG,0.009966,0.055915
3/31/15,PG,-0.037472,-0.010397
4/30/15,PG,-0.021566,0.008766
5/29/15,PG,-0.014086,0.010277
6/30/15,PG,-0.001914,-0.019231
7/31/15,PG,-0.01121,0.012108
8/31/15,PG,-0.078618,-0.059926
9/30/15,PG,0.017971,-0.033756
10/30/15,PG,0.070933,0.073937
11/30/15,PG,-0.020162,0.002404
12/31/15,PG,0.061064,-0.022209
1/29/16,PG,0.03706,-0.057085
2/29/16,PG,-0.017138,0.00062
3/31/16,PG,0.025159,0.070491
4/29/16,PG,-0.018473,0.011718
5/31/16,PG,0.011483,0.01434
6/30/16,PG,0.044793,0.002947
7/29/16,PG,0.018773,0.038815
8/31/16,PG,0.020096,0.0028
9/30/16,PG,0.027946,0.003013
10/31/16,PG,-0.025409,-0.021544
11/30/16,PG,-0.05,0.040488
12/30/16,PG,0.019646,0.018763
1/31/17,PG,0.049828,0.022153
2/28/17,PG,0.039612,0.032598
3/31/17,PG,-0.013396,0.002062
4/28/17,PG,-0.020372,0.009655
5/31/17,PG,0.008703,0.009335
6/30/17,PG,-0.010671,0.009571
7/31/17,PG,0.050024,0.020277
8/31/17,PG,0.015966,0.0016
9/29/17,PG,-0.013981,0.023729
10/31/17,PG,-0.043421,0.019275
11/30/17,PG,0.042275,0.027231
12/29/17,PG,0.021002,0.012122
1/31/18,PG,-0.052791,0.050577
2/28/18,PG,-0.090572,-0.039455
3/29/18,PG,0.009679,-0.018421
4/30/18,PG,-0.078491,0.004679
5/31/18,PG,0.011474,0.026146
6/29/18,PG,0.066831,0.005359
7/31/18,PG,0.045314,0.031573
8/31/18,PG,0.025593,0.030233
9/28/18,PG,0.003376,0.000425
10/31/18,PG,0.074098,-0.074045
11/30/18,PG,0.065742,0.018512
12/31/18,PG,-0.027405,-0.08989
1/31/19,PG,0.057302,0.088294
2/28/19,PG,0.021561,0.032724
3/29/19,PG,0.055809,0.012962
4/30/19,PG,0.030523,0.037893
5/31/19,PG,-0.033527,-0.061679
6/28/19,PG,0.065494,0.067279
7/31/19,PG,0.083319,0.011854
8/30/19,PG,0.018553,-0.020339
9/30/19,PG,0.034517,0.016033
10/31/19,PG,0.007042,0.019257
11/29/19,PG,-0.019677,0.034999
12/31/19,PG,0.023267,0.028489
1/31/20,PG,0.00373,-0.001728
1/30/09,JNJ,-0.035768,-0.077471
2/27/09,JNJ,-0.125325,-0.100166
3/31/09,JNJ,0.052,0.086803
4/30/09,JNJ,-0.004563,0.109466
5/29/09,JNJ,0.062834,0.067787
6/30/09,JNJ,0.029732,-0.003019
7/31/09,JNJ,0.072007,0.081779
8/31/09,JNJ,0.000657,0.03151
9/30/09,JNJ,0.007445,0.045281
10/30/09,JNJ,-0.030218,-0.028072
11/30/09,JNJ,0.072481,0.057075
12/31/09,JNJ,0.024984,0.028475
1/29/10,JNJ,-0.024065,-0.037172
2/26/10,JNJ,0.010022,0.034744
3/31/10,JNJ,0.034921,0.063668
4/30/10,JNJ,-0.013804,0.020036
5/28/10,JNJ,-0.084915,-0.07924
6/30/10,JNJ,0.013036,-0.05078
7/30/10,JNJ,-0.016424,0.07036
8/31/10,JNJ,-0.009124,-0.042863
9/30/10,JNJ,0.086636,0.091628
10/29/10,JNJ,0.028728,0.038591
11/30/10,JNJ,-0.025886,0.005117
12/31/10,JNJ,0.004874,0.067182
1/31/11,JNJ,-0.03363,0.019183
2/28/11,JNJ,0.036975,0.038156
3/31/11,JNJ,-0.035645,0.003341
4/29/11,JNJ,0.109198,0.028597
5/31/11,JNJ,0.032562,-0.014948
6/30/11,JNJ,-0.011443,-0.018447
7/29/11,JNJ,-0.026007,-0.022534
8/31/11,JNJ,0.024387,-0.057564
9/30/11,JNJ,-0.032067,-0.084983
10/31/11,JNJ,0.010991,0.114146
11/30/11,JNJ,0.013977,-0.00627
12/30/11,JNJ,0.013288,0.003676
1/31/12,JNJ,0.005032,0.054106
2/29/12,JNJ,-0.003945,0.041225
3/30/12,JNJ,0.013522,0.02402
4/30/12,JNJ,-0.013038,-0.006829
5/31/12,JNJ,-0.031644,-0.06559
6/29/12,JNJ,0.082172,0.038151
7/31/12,JNJ,0.024571,0.010307
