PERMNO,date,COMNAM,RET,vwretd
77178,01/31/2007,QUALCOMM INC,-0.003440,0.019397
77178,02/28/2007,QUALCOMM INC,0.073290,-0.013988
77178,03/30/2007,QUALCOMM INC,0.058558,0.012950
77178,04/30/2007,QUALCOMM INC,0.026723,0.039815
77178,05/31/2007,QUALCOMM INC,-0.016210,0.038932
77178,06/29/2007,QUALCOMM INC,0.010244,-0.014765
77178,07/31/2007,QUALCOMM INC,-0.040101,-0.031760
77178,08/31/2007,QUALCOMM INC,-0.038896,0.011630
77178,09/28/2007,QUALCOMM INC,0.059413,0.040842
77178,10/31/2007,QUALCOMM INC,0.011122,0.025796
77178,11/30/2007,QUALCOMM INC,-0.045635,-0.049327
77178,12/31/2007,QUALCOMM INC,-0.031633,-0.004423
77178,01/31/2008,QUALCOMM INC,0.078018,-0.062138
77178,02/29/2008,QUALCOMM INC,0.002591,-0.021663
77178,03/31/2008,QUALCOMM INC,-0.032788,-0.010421
77178,04/30/2008,QUALCOMM INC,0.053415,0.051060
77178,05/30/2008,QUALCOMM INC,0.127576,0.023808
77178,06/30/2008,QUALCOMM INC,-0.085909,-0.078426
77178,07/31/2008,QUALCOMM INC,0.247239,-0.013341
77178,08/29/2008,QUALCOMM INC,-0.045717,0.010566
77178,09/30/2008,QUALCOMM INC,-0.183856,-0.097980
77178,10/31/2008,QUALCOMM INC,-0.109611,-0.184648
77178,11/28/2008,QUALCOMM INC,-0.122582,-0.084615
77178,12/31/2008,QUALCOMM INC,0.072088,0.022154
77178,01/30/2009,QUALCOMM INC,-0.035724,-0.077315
77178,02/27/2009,QUALCOMM INC,-0.027786,-0.100271
77178,03/31/2009,QUALCOMM INC,0.163925,0.086748
77178,04/30/2009,QUALCOMM INC,0.087638,0.109352
77178,05/29/2009,QUALCOMM INC,0.034026,0.067774
77178,06/30/2009,QUALCOMM INC,0.036935,-0.003099
77178,07/31/2009,QUALCOMM INC,0.022345,0.081752
77178,08/31/2009,QUALCOMM INC,0.008223,0.031469
77178,09/30/2009,QUALCOMM INC,-0.031021,0.045216
77178,10/30/2009,QUALCOMM INC,-0.081147,-0.027971
77178,11/30/2009,QUALCOMM INC,0.092911,0.057117
77178,12/31/2009,QUALCOMM INC,0.028000,0.028430
77178,01/29/2010,QUALCOMM INC,-0.152832,-0.037098
77178,02/26/2010,QUALCOMM INC,-0.059635,0.034786
77178,03/31/2010,QUALCOMM INC,0.143857,0.063626
77178,04/30/2010,QUALCOMM INC,-0.078170,0.020063
77178,05/28/2010,QUALCOMM INC,-0.075750,-0.079163
77178,06/30/2010,QUALCOMM INC,-0.076490,-0.050745
77178,07/30/2010,QUALCOMM INC,0.159562,0.070309
77178,08/31/2010,QUALCOMM INC,0.010767,-0.042844
77178,09/30/2010,QUALCOMM INC,0.178394,0.091547
77178,10/29/2010,QUALCOMM INC,0.000609,0.038512
77178,11/30/2010,QUALCOMM INC,0.040965,0.005125
77178,12/31/2010,QUALCOMM INC,0.057027,0.067205
77178,01/31/2011,QUALCOMM INC,0.093756,0.019137
77178,02/28/2011,QUALCOMM INC,0.104194,0.038175
77178,03/31/2011,QUALCOMM INC,-0.079725,0.003353
77178,04/29/2011,QUALCOMM INC,0.041218,0.028667
77178,05/31/2011,QUALCOMM INC,0.030040,-0.014900
77178,06/30/2011,QUALCOMM INC,-0.030722,-0.018388
77178,07/29/2011,QUALCOMM INC,-0.035394,-0.022524
